Frame, TargetID, Row, Col, Int, PosX, PosY, PosZ, LosRx, LosRy, LosRz,u_LosRx,u_LosRy,u_LosRz,Year,Month,Day,Hour,Min,Sec,profile
0,1,164.712962449131,105.936364310515,10000,-1237834.97805064,-4677534.34073597,4149329.22197314,-0.0469000886365363,0.590349134303352,-0.805784264746569,-0.0469000886365363,0.590349134303352,-0.805784264746569,2013,10,9,0,0,0.25,0
0,2,94.5385753082756,234.966389462441,10000,-1369058.61493519,-4822492.87768055,3938176.84172699,-0.0504112603955671,0.584840468943618,-0.80958034234481,-0.0504112603955671,0.584840468943618,-0.80958034234481,2013,10,9,0,0,0.25,0
0,3,102.169525766216,193.922895317165,10000,-1354806.99555295,-4773856.35841565,4001425.70142215,-0.0500493916104269,0.586565606313057,-0.808353788814045,-0.0500493916104269,0.586565606313057,-0.808353788814045,2013,10,9,0,0,0.25,0
0,4,249.622878089566,86.1248278696564,10000,-1079122.89304013,-4668616.15883017,4202974.60603599,-0.0425514049680913,0.591335210537102,-0.805302456667234,-0.0425514049680913,0.591335210537102,-0.805302456667234,2013,10,9,0,0,0.25,0
0,5,224.750612057499,243.105421097673,10000,-1124450.55457531,-4859600.93552258,3969661.06306454,-0.043715335661874,0.584763650016442,-0.810024964459379,-0.043715335661874,0.584763650016442,-0.810024964459379,2013,10,9,0,0,0.25,0
0,6,183.846281599133,70.4912535413857,10000,-1202281.96075233,-4636406.03702876,4205188.5078427,-0.0459424751951086,0.591856209812154,-0.804733195462781,-0.0459424751951086,0.591856209812154,-0.804733195462781,2013,10,9,0,0,0.25,0
0,7,235.641112826138,111.058133217161,10000,-1105015.3952762,-4697703.61902638,4163916.54291386,-0.0432519362840249,0.590275138068984,-0.806042512145188,-0.0432519362840249,0.590275138068984,-0.806042512145188,2013,10,9,0,0,0.25,0
0,8,75.517423587837,121.153240929639,10000,-1405280.21661113,-4676905.25625468,4096725.73751751,-0.0514713333431414,0.589532658910867,-0.806102937546665,-0.0514713333431414,0.589532658910867,-0.806102937546665,2013,10,9,0,0,0.25,0
0,9,159.097422259124,274.867924457932,10000,-1247508.79251157,-4885225.41090488,3901312.15910737,-0.0470651924625087,0.583309882969437,-0.810884978334566,-0.0470651924625087,0.583309882969437,-0.810884978334566,2013,10,9,0,0,0.25,0
0,10,156.832224274315,140.131018134327,10000,-1252373.96446342,-4718926.31661293,4098125.62634583,-0.0472802921445854,0.588914258306449,-0.806811359822163,-0.0472802921445854,0.588914258306449,-0.806811359822163,2013,10,9,0,0,0.25,0
1,1,164.624116689284,106.187731027946,10000,-1237999.62614494,-4677833.72135183,4148945.16676839,-0.0469044724001109,0.59033853144853,-0.805791777543095,-0.0469044724001109,0.59033853144853,-0.805791777543095,2013,10,9,0,0,0.75,0
1,2,94.6437490237139,235.21960698941,10000,-1368860.00153867,-4822826.53539091,3937839.5445477,-0.0504056711671302,0.584830139579254,-0.80958815218227,-0.0504056711671302,0.584830139579254,-0.80958815218227,2013,10,9,0,0,0.75,0
1,3,102.394216120033,193.791667088534,10000,-1354384.64727512,-4773745.84335179,4001698.67785551,-0.0500379451839373,0.586571539232453,-0.808350192307913,-0.0500379451839373,0.586571539232453,-0.808350192307913,2013,10,9,0,0,0.75,0
1,4,249.515545554414,85.870094058283,10000,-1079325.91147616,-4668273.68178536,4203300.67281192,-0.0425571034476047,0.591345565342996,-0.805294551884788,-0.0425571034476047,0.591345565342996,-0.805294551884788,2013,10,9,0,0,0.75,0
1,5,224.733650482958,243.371617072051,10000,-1124480.9224089,-4859922.46139238,3969261.51105607,-0.0437160112280446,0.584752521536606,-0.810032961624951,-0.0437160112280447,0.584752521536607,-0.810032961624952,2013,10,9,0,0,0.75,0
